Staff_ID,email,unhashed_password
130002,jack.sim@allinone.com.sg,password
140001,Derek.Tan@allinone.com.sg,password
150008,Eric.Loh@allinone.com.sg,password
151408,Philip.Lee@allinone.com.sg,password
140894,Rahim.Khalid@allinone.com.sg,password
140002,Susan.Goh@allinone.com.sg,password
140003,Janice.Chan@allinone.com.sg,password
140004,Mary.Teo@allinone.com.sg,password
140015,Oliva.Lim@allinone.com.sg,password
140025,Emma.Heng@allinone.com.sg,password
140036,Charlotte.Wong@allinone.com.sg,password
140078,Amelia.Ong@allinone.com.sg,password
140102,Eva.Yong@allinone.com.sg,password
140108,Liam.The@allinone.com.sg,password
140115,Noah.Ng@allinone.com.sg,password
140525,Oliver.Tan@allinone.com.sg,password
140736,William.Fu@allinone.com.sg,password
140878,James.Tong@allinone.com.sg,password
140880,Heng.Chan@allinone.com.sg,password
140881,Rina.Tan@allinone.com.sg,password
140882,Boun.Souk@allinone.com.sg,password
140883,Aung.Kyaw@allinone.com.sg,password
140886,Thuy.Nguyen@allinone.com.sg,password
140887,Rajesh.Kumar@allinone.com.sg,password
140888,Koh.Lim@allinone.com.sg,password
140889,Somchai.Somboon@allinone.com.sg,password
140890,Seng.Lee@allinone.com.sg,password
140891,Anh.Tran@allinone.com.sg,password
140892,Ratana.Chen@allinone.com.sg,password
140893,Bui.Nguyen@allinone.com.sg,password
140895,Dewi.Putri@allinone.com.sg,password
140898,Sokha.Seng@allinone.com.sg,password
140900,Tuan.Nguyen@allinone.com.sg,password
140901,Bao.Luu@allinone.com.sg,password
140940,Siti.Ahmad@allinone.com.sg,password
140941,Chandra.Rai@allinone.com.sg,password
140942,Ratana.Keo@allinone.com.sg,password
140945,Wai.Yong@allinone.com.sg,password
140947,Thi.Pham@allinone.com.sg,password
140948,Nara.Sok@allinone.com.sg,password
140008,Jaclyn.Lee@allinone.com.sg,password
140927,Chin.Lim@allinone.com.hk,password
140928,Sok.Chhay@allinone.com.hk,password
140929,Tat.Nguyen@allinone.com.hk,password
140933,Hlaing.Sithu@allinone.com.hk,password
140934,Santhi.Perumal@allinone.com.hk,password
140935,Hakim.Siregar@allinone.com.hk,password
140937,Sirirat.Chaiyaporn@allinone.com.hk,password
140938,Chinh.Tran@allinone.com.hk,password
